Date,Employees,Students,Total
"Aug 1, 2020",12,14,26
"Aug 2, 2020",12,15,27
"Aug 3, 2020",10,17,27
"Aug 4, 2020",10,16,26
"Aug 5, 2020",11,16,27
"Aug 6, 2020",8,14,22
"Aug 7, 2020",8,14,22
"Aug 8, 2020",8,17,25
"Aug 9, 2020",8,16,24
"Aug 10, 2020",8,16,24
"Aug 11, 2020",8,18,26
"Aug 12, 2020",8,20,28
"Aug 13, 2020",8,20,28
